City,Country,Latitude,Longitude,Maximum Temperature,Humidity,Cloudiness,Wind Speed,Current Description
Nikolskoye,RU,59.7035,30.7861,26.49,93,100,5.37,light snow
Leningradskiy,RU,69.3833,178.4167,-23.93,97,100,12.71,overcast clouds
Butaritari,KI,3.0707,172.7902,80.74,74,100,10.18,overcast clouds
Kaitangata,NZ,-46.2817,169.8464,66.16,67,100,6.02,overcast clouds
Beringovskiy,RU,63.05,179.3167,-14.87,92,27,12.24,scattered clouds
Dunedin,NZ,-45.8742,170.5036,59.81,95,100,12.3,overcast clouds
Waipawa,NZ,-41.4122,175.5153,70.36,57,16,17.07,few clouds
Russell,US,32.3502,-85.1999,68.0,94,0,5.75,clear sky
Tolaga Bay,NZ,-38.3667,178.3,67.68,71,48,13.69,scattered clouds
Asau,RO,46.4333,26.4,29.32,76,44,7.16,scattered clouds
Christchurch,NZ,-43.5333,172.6333,75.33,62,99,18.41,overcast clouds
Isangel,VU,-19.55,169.2667,84.6,69,18,9.55,few clouds
Ngunguru,NZ,-35.6167,174.5,67.93,79,99,23.11,overcast clouds
Gisborne,NZ,-38.6533,178.0042,68.45,66,38,15.35,scattered clouds
Otane,NZ,-39.8833,176.6333,70.02,64,86,13.29,overcast clouds
Hastings,GB,50.8552,0.5729,50.29,89,6,14.03,clear sky
Anadyr,RU,64.75,177.4833,-17.9,69,0,11.18,clear sky
